count(mark),model
31,2
110,2008
90,208
130,3
51,3008
53,308
27,3gt
72,500
17,5008
33,500l
51,500x
13,508
155,6
69,a-klasa
17,a1
83,a3
118,a4
12,a4-allroad
89,a5
65,a6
28,a7
10,a8
25,adam
3,alhambra
15,amg-gt
37,arona
51,arteon
361,astra
56,asx
26,ateca
193,auris
89,avensis
93,aygo
17,b-klasa
8,b-max
16,beetle
1,berlingo
52,c-hr
209,c-klasa
27,c-max
21,c3-aircross
6,c3-picasso
82,c4-cactus
14,c4-grand-picasso
13,c4-picasso
4,caddy
40,camaro
4,camry
136,captur
7,carens
1,cc
78,ceed
84,citigo
106,civic
90,cla-klasa
137,clio
11,cls-klasa
23,clubman
7,combo
49,cooper
33,cooper-s
121,corolla
154,corsa
37,countryman
51,cr-v
42,crossland-x
127,cx-3
100,cx-5
10,cx-9
7,doblo
7,ds3
6,ds4
70,e-klasa
19,eclipse-cross
57,ecosport
17,edge
21,elantra
40,escape
18,espace
7,explorer
8,f150
284,fabia
122,fiesta
1,fluence
197,focus
41,fusion
3,g-klasa
6,galaxy
31,giulia
20,giulietta
92,gla-klasa
87,glc-klasa
39,gle-klasa
13,gls-klasa
283,golf
51,golf-sportsvan
7,grand-c-max
17,grand-scenic
3,grande-punto
27,grandland-x
36,hr-v
23,i10
70,i20
88,i30
8,i40
103,ibiza
129,insignia
17,ix20
19,jetta
87,juke
10,ka
117,kadjar
2,kangoo
13,karl
15,karoq
44,kodiaq
29,kona
107,kuga
3,lancer
183,leon
16,m2
10,m3
5,m4
15,m5
181,megane
29,meriva
91,micra
4,mito
203,mokka
90,mondeo
2,multivan
1,murano
77,mustang
9,mx-5
3,note
294,octavia
20,one
26,optima
41,outlander
9,panda
4,partner
247,passat
23,picanto
164,polo
1,pro-ceed
21,punto
1,punto-evo
22,q2
49,q3
49,q5
12,q7
213,qashqai
154,rapid
22,rav4
3,rs3
6,rs5
14,rs6
69,s-klasa
11,s-max
15,s3
20,s5
68,s60
8,s8
3,s80
7,santa-fe
32,scenic
60,seria-1
38,seria-2
110,seria-3
77,seria-4
103,seria-5
7,seria-6
34,seria-7
3,seria-8
5,sharan
9,sienna
1,sorento
7,soul
22,space-star
140,sportage
20,sq5
18,stinger
28,stonic
173,superb
26,t-roc
36,talisman
107,tiguan
8,tiguan-allspace
159,tipo
9,toledo
2,touareg
19,touran
8,tourneo-courier
1,transit-connect
181,tucson
13,twingo
85,up
34,v40
10,v60
13,v90
24,venga
19,verso
27,x-trail
37,x1
17,x2
41,x3
22,x4
17,x5
17,x5-m
7,x6
6,x6-m
14,xc-40
39,xc-60
1,xc-70
228,xc-90
215,yaris
6,yeti
15,zafira
